what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1233533412534
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233533415246
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533428588
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533490915
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233533526642
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233533534903
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233533536004
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233533538569
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1233533564024
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1233533576403
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233533577406
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1233533578405
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233533579359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233533581332
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233533585448
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533588633
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533590330
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233533591860
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533599154
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533612080
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233533615992
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233533619489
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533622862
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533624696
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233533625501
