what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1233349039137
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1233349112463
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349112606
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349151758
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349151780
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349151788
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349175661
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349175668
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349190291
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233349195831
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233349205817
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349208987
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1233349214195
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349214324
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233349248415
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233349253951
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349269348
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349272127
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349278895
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349306294
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349307990
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233349355879
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233349362995
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1233349383162
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233349387675
