what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233593230706
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233593231755
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593236450
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593238308
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593244884
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593270859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593271575
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593274627
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233593277554
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233593281474
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233593282228
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593286172
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593287858
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593288266
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593293544
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593294082
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593375579
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233593378295
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233597138429
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233597140205
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233597142786
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233597143061
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233597143238
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233597185881
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233597234266
